customer_id,age,city,website_visits,instagram_engagement,interested_model,ad_clicks,brochure_download,income_lpa,configurator_used,test_drive,purchase,cluster,persona,intent_score,journey_stage,next_action
106,54,Delhi,9,36,BMW X1,9,1,70.43183101547204,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
107,44,Gurgaon,5,28,BMW i4,6,0,62.67313885566913,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
108,45,Gurgaon,4,82,BMW X3,13,0,60.61725620106456,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
109,58,Delhi,29,34,BMW X5,5,0,84.990290220361,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
110,56,Delhi,1,37,BMW X5,10,0,65.93003440140012,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
111,61,Bangalore,30,89,BMW X1,8,0,91.64489583830772,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
112,43,Gurgaon,1,74,BMW X5,3,0,60.091429135580825,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
113,48,Pune,3,99,BMW i4,3,0,63.72774070593274,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
114,56,Mumbai,22,34,BMW X5,8,0,86.41119653167708,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
115,22,Bangalore,8,67,BMW X1,1,0,35.89756858349576,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
116,56,Gurgaon,18,2,BMW 3 Series,9,0,75.71339805973373,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
117,58,Delhi,25,11,BMW i4,1,1,76.51353526761307,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
118,35,Gurgaon,20,31,BMW 3 Series,8,0,50.67851601533481,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
119,24,Pune,31,46,BMW X3,6,1,41.23279458817515,1,1,0,2,Window Shopper,15,Hot Lead,Immediate Sales Call
120,22,Bangalore,30,62,BMW X1,4,1,38.9909800586646,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
121,26,Delhi,16,25,BMW X3,13,0,35.24746056601306,0,0,0,2,Window Shopper,0,Aware,Retargeting Ads
122,47,Pune,2,42,BMW X3,4,0,60.55110502748534,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
123,35,Mumbai,17,76,BMW X3,8,0,57.1401193860786,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
124,60,Bangalore,10,43,BMW X3,12,0,79.36089621597323,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
125,48,Pune,7,37,BMW X1,14,0,67.30984645049789,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
126,30,Pune,9,28,BMW 3 Series,9,0,46.60778786573732,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
127,36,Delhi,17,54,BMW X5,4,1,60.53807607491108,0,0,1,1,Aspiring Techie,5,Buyer,Service Package Offer
128,36,Mumbai,9,51,BMW X3,8,1,59.81563413474644,0,0,1,1,Aspiring Techie,5,Buyer,Service Package Offer
129,47,Pune,9,18,BMW X5,7,0,68.10859009799526,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
130,63,Bangalore,37,34,BMW X5,5,0,82.22544102402608,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
131,34,Pune,24,47,BMW X3,4,0,62.372820626151324,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
132,53,Gurgaon,39,90,BMW i4,12,0,77.1039166930745,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
133,60,Bangalore,11,59,BMW X5,4,0,88.83523249415565,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
134,53,Bangalore,8,30,BMW i4,4,0,72.40807550923981,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
135,25,Pune,25,2,BMW 3 Series,13,1,34.218765818295864,1,0,0,2,Window Shopper,15,Warm Lead,Personalized Email
136,51,Delhi,2,34,BMW X5,0,0,73.74466423926958,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
137,58,Bangalore,10,87,BMW X1,10,0,79.68374260601226,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
138,44,Gurgaon,24,51,BMW 3 Series,4,1,71.05943972195784,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
139,60,Delhi,16,70,BMW 3 Series,2,0,81.49322469911313,0,0,0,0,Luxury Veteran,0,Aware,Retargeting Ads
140,36,Delhi,19,50,BMW i4,5,0,50.970001810101806,0,0,0,1,Aspiring Techie,0,Aware,Retargeting Ads
141,64,Delhi,31,55,BMW X3,8,0,93.21705403922243,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
142,50,Bangalore,11,98,BMW X1,11,0,67.9079252500069,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
143,57,Delhi,6,20,BMW X1,14,1,77.02221671136577,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
144,34,Pune,6,0,BMW i4,2,0,43.07772359311223,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
145,53,Delhi,32,52,BMW i4,0,0,79.2379678067215,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
146,28,Gurgaon,39,5,BMW 3 Series,7,0,42.7118342434241,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
147,43,Mumbai,13,97,BMW i4,11,1,55.71166587486452,0,0,1,1,Aspiring Techie,5,Buyer,Service Package Offer
148,49,Gurgaon,3,81,BMW X3,12,0,74.5932167622613,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
149,23,Bangalore,35,61,BMW 3 Series,13,1,36.268740773288805,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
150,63,Delhi,38,88,BMW 3 Series,13,0,94.69043942055592,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
151,27,Delhi,17,78,BMW 3 Series,8,0,48.78366325500611,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
152,49,Pune,3,46,BMW X1,9,0,62.76464438937107,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
153,49,Delhi,34,95,BMW X1,3,1,72.41305004793813,1,1,0,0,Luxury Veteran,15,Hot Lead,Immediate Sales Call
154,41,Gurgaon,12,49,BMW 3 Series,9,0,64.45517004532321,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
155,51,Bangalore,24,81,BMW X3,13,0,62.81789039870907,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
156,32,Mumbai,6,30,BMW X5,13,0,47.10660360352583,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
157,49,Delhi,11,63,BMW 3 Series,12,0,66.11458229831794,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
158,46,Mumbai,27,28,BMW i4,4,0,70.63546430869317,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
159,60,Delhi,24,14,BMW X5,2,0,77.49029286047703,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
160,54,Bangalore,18,57,BMW X1,13,0,76.1243048956637,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
161,22,Gurgaon,27,22,BMW X1,12,0,46.07405307702515,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
162,48,Bangalore,21,37,BMW X5,7,1,57.455021273314216,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
163,34,Mumbai,34,40,BMW i4,2,1,51.27757611551369,1,1,0,2,Window Shopper,15,Hot Lead,Immediate Sales Call
164,62,Delhi,33,74,BMW X1,3,0,85.0460819818212,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
165,24,Mumbai,18,14,BMW X1,9,0,26.42030222549632,0,0,0,2,Window Shopper,0,Aware,Retargeting Ads
166,60,Gurgaon,3,86,BMW 3 Series,11,0,73.62526234228446,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
167,27,Bangalore,24,2,BMW X3,6,0,46.7352531520171,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
168,29,Mumbai,1,82,BMW i4,1,1,44.51773662809743,0,0,0,1,Aspiring Techie,5,Cold Lead,Brand Awareness
169,48,Mumbai,6,0,BMW 3 Series,0,0,68.57815843615293,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
170,30,Gurgaon,19,87,BMW X3,3,1,45.27056243234686,0,0,0,1,Aspiring Techie,5,Aware,Retargeting Ads
171,58,Delhi,22,74,BMW X1,7,0,85.82420873810275,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
172,54,Mumbai,8,93,BMW X3,14,0,86.81621619338603,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
173,63,Gurgaon,5,10,BMW X1,0,0,91.17251125782383,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
174,45,Delhi,9,59,BMW 3 Series,9,0,52.262917534769755,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
175,36,Delhi,21,64,BMW X1,13,1,53.01907521761882,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
176,53,Bangalore,28,75,BMW X3,13,1,80.6658532148669,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
177,53,Gurgaon,4,3,BMW 3 Series,2,0,71.45491149261281,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
178,45,Delhi,24,24,BMW X3,3,0,71.10257567689418,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
179,62,Bangalore,8,71,BMW X3,3,0,82.715020073929,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
180,33,Pune,17,78,BMW X5,2,0,43.338800291260505,0,0,0,1,Aspiring Techie,0,Aware,Retargeting Ads
181,60,Gurgaon,34,42,BMW X1,2,0,85.604646938315,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
182,23,Pune,20,93,BMW X1,12,0,39.888762778818176,0,0,0,1,Aspiring Techie,0,Aware,Retargeting Ads
183,24,Delhi,16,39,BMW X3,6,0,35.79387766026912,0,0,0,2,Window Shopper,0,Aware,Retargeting Ads
184,58,Gurgaon,10,95,BMW X1,7,1,86.10391414945683,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
185,38,Bangalore,34,98,BMW i4,13,0,46.326024796717334,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
186,23,Delhi,10,84,BMW X1,12,0,42.8600387840326,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
187,23,Gurgaon,30,94,BMW 3 Series,9,0,34.867350773620196,1,0,0,1,Aspiring Techie,10,Aware,Retargeting Ads
188,49,Gurgaon,30,99,BMW X1,13,1,77.59368076185227,1,1,0,0,Luxury Veteran,15,Hot Lead,Immediate Sales Call
189,44,Pune,25,90,BMW i4,3,1,66.88789670917954,1,1,1,1,Aspiring Techie,15,Buyer,Service Package Offer
190,58,Delhi,7,43,BMW X3,10,1,77.87235058706585,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
191,53,Bangalore,20,71,BMW X1,10,0,68.76945033931638,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
192,54,Bangalore,17,58,BMW 3 Series,14,1,66.70031730604019,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
193,22,Delhi,3,22,BMW i4,7,0,36.011739574875975,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
194,40,Delhi,36,61,BMW X5,7,0,58.27845080857836,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
195,23,Mumbai,26,22,BMW X3,5,1,42.86393803873315,1,1,0,2,Window Shopper,15,Hot Lead,Immediate Sales Call
196,47,Pune,10,57,BMW X3,0,1,62.792335943169704,0,0,0,0,Luxury Veteran,5,Cold Lead,Brand Awareness
197,53,Delhi,34,54,BMW X3,6,0,75.42199815175869,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
198,27,Delhi,14,32,BMW i4,6,0,40.618418776747,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
199,53,Mumbai,8,76,BMW X1,4,0,81.0925183516776,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
200,25,Mumbai,27,62,BMW X1,5,1,39.35864772822855,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
201,32,Gurgaon,10,59,BMW X1,13,1,44.74384053197854,0,0,0,1,Aspiring Techie,5,Cold Lead,Brand Awareness
202,38,Bangalore,15,98,BMW X1,8,0,49.60153132235751,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
203,59,Pune,37,60,BMW X3,2,1,78.53636040648846,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
204,45,Gurgaon,22,79,BMW X5,11,0,62.83230275996782,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
205,26,Delhi,31,75,BMW X3,3,1,40.20940528991758,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
206,55,Mumbai,2,60,BMW X5,8,1,78.12920120525062,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
207,27,Bangalore,31,94,BMW X5,14,0,40.7372213943592,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
208,43,Gurgaon,14,68,BMW X1,12,0,57.44123956670608,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
209,32,Bangalore,10,88,BMW 3 Series,9,0,46.29796803898091,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
210,37,Mumbai,30,20,BMW i4,13,0,53.307491773887506,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
211,54,Gurgaon,36,2,BMW 3 Series,11,1,71.96752423376063,1,1,0,0,Luxury Veteran,15,Hot Lead,Immediate Sales Call
212,30,Gurgaon,15,47,BMW X5,1,0,37.9478720026448,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
213,27,Bangalore,14,9,BMW 3 Series,13,0,34.802182948619766,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
